px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.78734	-13.2535	-2.83648	0.0151075	-1.34913	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.918786
7.67542	-13.3176	-2.27188	0.025025	-1.2374	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	64.0674
7.55611	-13.308	-2.28479	-0.0401179	-1.23951	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.60078
7.35154	-13.3341	-3.09164	-0.0609351	-1.17192	7.21108	-13.0985	7.3	-13.25	-2.72846	0	41.3205
7.17873	-13.3113	-3.09445	-0.128176	-1.17407	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.62681
7.03001	-13.2432	-3.15686	-0.236171	-1.24431	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	18.9817
6.8751	-13.1964	-3.16059	-0.300335	-1.2456	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.321578
6.73256	-13.1521	-2.82383	-0.362124	-1.23587	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	2.71528
6.5877	-13.0891	-2.82901	-0.431054	-1.23638	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.14708
6.43674	-13.1152	-2.39886	-0.390514	-1.07828	6.40137	-13.0799	6.4	-13.05	-2.72678	0	111.432
6.3147	-13.0587	-2.40639	-0.450514	-1.07849	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.293201
6.13118	-13.0343	-2.84244	-0.431346	-0.959471	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	79.2767
5.9894	-12.9621	-2.84959	-0.484925	-0.959834	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0.253009
5.80796	-12.8642	-3.7401	-0.532014	-0.958555	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	15.9551
5.64805	-12.763	-3.74159	-0.58078	-0.959126	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.0771657
5.56094	-12.7036	-2.2557	-0.627025	-0.947607	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	45.0085
5.46281	-12.6294	-2.25641	-0.678736	-0.947282	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.112508
5.30504	-12.5299	-3.16998	-0.700909	-0.899874	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	27.1787
5.17574	-12.4174	-3.1692	-0.749383	-0.899033	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.47434
5.04223	-12.3494	-2.87573	-0.73817	-0.797082	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	36.1865
4.9281	-12.2415	-2.87452	-0.781763	-0.796983	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.00828932
4.81707	-12.1403	-2.97092	-0.808353	-0.773406	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	2.73261
4.71846	-12.0356	-2.96387	-0.846197	-0.773204	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.284134
4.65829	-11.871	-2.71017	-0.972693	-0.923188	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	86.1767
4.5784	-11.7477	-2.70494	-1.02337	-0.923491	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.434047
4.56127	-11.5864	-1.96473	-1.17601	-1.10524	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	126.772
4.52607	-11.4944	-1.9504	-1.23565	-1.10527	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.71243
4.44771	-11.2878	-3.9789	-1.27724	-1.0803	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	88.3331
4.39766	-11.1024	-3.96986	-1.33096	-1.08114	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.447028
4.39975	-10.9546	-2.27161	-1.44716	-1.19345	4.43713	-11.024	4.45	-11.05	0	1.81614	93.8144
4.39243	-10.8408	-2.25483	-1.51335	-1.19607	4.45136	-10.93	4.45	-10.95	0	1.81612	1.26229
4.39179	-10.6623	-2.85465	-1.59207	-1.22359	4.44745	-10.786	4.45	-10.8	0	2.72555	11.4404
4.40562	-10.5192	-2.83426	-1.66097	-1.22794	4.45788	-10.6457	4.45	-10.65	0	2.72554	2.0746
4.40308	-10.4093	-2.60654	-1.69659	-1.15283	4.46329	-10.5756	4.45	-10.5	0	2.729	39.8418
4.42801	-10.2741	-2.59742	-1.76106	-1.15517	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.469835
4.46516	-10.1168	-2.86121	-1.82643	-1.15949	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	1.58355
4.51305	-9.97351	-2.85238	-1.89206	-1.16276	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.691882
4.56136	-9.81471	-3.04277	-1.94463	-1.13882	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	4.47806
4.63053	-9.66847	-3.0326	-2.00931	-1.14198	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.724221
4.64936	-9.50669	-2.97958	-2.01658	-1.03444	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	57.2907
4.72836	-9.3695	-2.96947	-2.07629	-1.03814	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.95238
4.80397	-9.22463	-3.00068	-2.12433	-1.02144	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	1.92033
4.89789	-9.09294	-2.99964	-2.18273	-1.02418	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.509841
4.96295	-8.97979	-2.75837	-2.21964	-0.999321	4.95209	-8.96272	5	-9.05	0.999884	1.99977	4.16295
5.05178	-8.87748	-2.7511	-2.27155	-1.00135	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.570575
5.11935	-8.73495	-2.81011	-2.28561	-0.932357	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	27.679
5.22559	-8.62372	-2.81407	-2.33814	-0.933618	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.213519
5.33918	-8.50591	-3.08968	-2.38144	-0.927941	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	1.77782
5.45445	-8.40367	-3.08718	-2.42846	-0.928489	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0628222
5.48	-8.3158	-1.97268	-2.42916	-0.848107	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	54.1381
5.5627	-8.24562	-1.96929	-2.47526	-0.847669	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.0611389
5.69427	-8.09162	-2.97621	-2.47749	-0.778374	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	63.9476
5.82475	-7.99199	-2.98373	-2.51975	-0.777903	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.201917
5.93409	-7.84106	-3.06951	-2.50289	-0.688797	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	29.9304
6.07069	-7.74205	-3.06827	-2.54033	-0.688463	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.0173923
6.13467	-7.62897	-2.4164	-2.52128	-0.604107	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	35.3883
6.24419	-7.55345	-2.41919	-2.5545	-0.604086	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.0257835
6.35931	-7.42807	-2.71563	-2.54324	-0.538072	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	27.6215
6.48311	-7.34558	-2.70932	-2.57261	-0.537979	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.132939
6.61878	-7.25185	-3.05599	-2.59414	-0.531205	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	3.03442
